last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff,era,xera,era_minus_xera_diff
Peralta, Wily,503449,2021,402,301,.247,.251,-0.004,.415,.408,0.007,.319,.328,-0.009,3.07,4.66,-1.59
Hand, Brad,543272,2021,278,185,.235,.247,-0.012,.408,.427,-0.019,.310,.328,-0.018,3.90,4.66,-0.76
Pagán, Emilio,641941,2021,263,174,.231,.227,0.004,.512,.483,0.029,.336,.328,0.008,4.83,4.66,0.17
Paddack, Chris,663978,2021,459,337,.269,.270,-0.001,.445,.450,-0.005,.319,.328,-0.009,5.07,4.66,0.41
Odorizzi, Jake,543606,2021,441,313,.243,.251,-0.008,.429,.439,-0.010,.316,.327,-0.011,4.21,4.63,-0.42
Canning, Griffin,656288,2021,277,186,.264,.246,0.018,.500,.421,0.079,.356,.327,0.029,5.60,4.63,0.97
Bass, Anthony,542914,2021,260,175,.241,.252,-0.011,.425,.431,-0.006,.312,.326,-0.014,3.82,4.60,-0.78
Woodford, Jake,663765,2021,293,210,.261,.261,0.000,.403,.393,0.010,.322,.326,-0.004,3.99,4.60,-0.61
Hoffman, Jeff,656546,2021,335,206,.248,.234,0.014,.436,.385,0.051,.345,.326,0.019,4.56,4.60,-0.04
Scott, Tanner,656945,2021,251,138,.234,.228,0.006,.351,.354,-0.003,.321,.326,-0.005,5.17,4.60,0.57
Brubaker, JT,664141,2021,538,362,.254,.249,0.005,.480,.430,0.050,.340,.326,0.014,5.36,4.60,0.76
McClanahan, Shane,663556,2021,517,337,.252,.259,-0.007,.389,.429,-0.040,.304,.325,-0.021,3.43,4.57,-1.14
Singer, Brady,663903,2021,586,391,.281,.255,0.026,.414,.393,0.021,.338,.325,0.013,4.91,4.57,0.34
Weaver, Luke,596133,2021,275,192,.233,.249,-0.016,.470,.444,0.026,.316,.324,-0.008,4.25,4.54,-0.29
Kelly, Merrill,518876,2021,667,492,.266,.269,-0.003,.433,.426,0.007,.319,.324,-0.005,4.44,4.54,-0.10
Walker, Taijuan,592836,2021,654,449,.225,.242,-0.017,.400,.433,-0.033,.301,.324,-0.023,4.47,4.54,-0.07
Alzolay, Adbert,640470,2021,519,352,.236,.246,-0.010,.439,.443,-0.004,.312,.324,-0.012,4.58,4.54,0.04
Plesac, Zach,668676,2021,598,456,.248,.252,-0.004,.437,.451,-0.014,.314,.324,-0.010,4.67,4.54,0.13
Gray, Josiah,680686,2021,307,196,.238,.217,0.021,.506,.445,0.061,.348,.324,0.024,5.48,4.54,0.94
Javier, Cristian,664299,2021,424,234,.186,.217,-0.031,.355,.405,-0.050,.291,.323,-0.032,3.55,4.51,-0.96
